"_id","_labels","chunk_index","embedding","id","index","name","text","weather","_start","_end","_type","fromYear"
"49",":Component:Engine:Equipment:__Entity__","","","right engine","","","","",,,,
"50",":Procedure:__Entity__","","","Emergency Checklist","","","","",,,,
"51",":Equipment:__Entity__","","","right generator caution light","","","","",,,,
"52",":Date:__Entity__","","","20 February 2010","","","","",,,,
"53",":Airport:Location:__Entity__","","","Birmingham Airport","","","","",,,,
"54",":Equipment:__Entity__","","","generator","","","","",,,,
"55",":Procedure:__Entity__","","","rectification work","","","","",,,,
"56",":Equipment:__Entity__","","","right engine reverse current relay (RCR)","","","","",,,,
"57",":Event:__Entity__","","","three flights","","","","",,,,
"58",":Event:__Entity__","","","first leg","","","","",,,,
"59",":Person:__Entity__","","","engineers","","","","",,,,
"60",":Document","","","e0961e43e76e99e9c4e10bea14df4651","","","History of the flight
On 23 February 2010, C-FAKB departed from Birmingham Airport at 2336 hrs and climbed to FL170 for a flight to Dubrovnik, Croatia. A few minutes after levelling off for the cruise, the captain noticed “two brief flickers” of the left generator caution light. After discussion with the co-pilot, the commander opened the DC bus tie in order to separate the two DC generator busbars electrically. This action was known to enable continued operation of both generators in circumstances where they were not properly balanced.
Approximately five minutes later, the commander noticed a faint smell, but he and the co-pilot saw nothing abnormal. The crew discussed the symptoms they had observed but decided not to reset the left generator because there had been no steady generator","",,,,
"61",":Device:Equipment:__Entity__","","","DC bus tie","","","","",,,,
"62",":Person:__Entity__","","","Captain of C-FAKB","","","","",,,,
"63",":Sensation:__Entity__","","","faint smell","","","","",,,,
"64",":Flight Level:__Entity__","","","FL170","","","","",,,,
"65",":Person:__Entity__","","","Commander of C-FAKB","","","","",,,,
"66",":Event:__Entity__","","","two brief flickers of the left generator caution light","","","","",,,,
"67",":Location:__Entity__","","","Dubrovnik, Croatia","","","","",,,,
"68",":Document","","","2998ea9de91477304b975e916a35df15","","","caution light. A few minutes later, they noticed a “dim orange flickering glow” between two ceiling panels on the right side of the cabin close to the location of both RCRs. The commander declared an emergency and asked for assistance from ATC to land at the nearest suitable airport. The aircraft was at FL170 overhead the River Thames estuary near Manston, but Manston Airport was closed, as was Lydd Airport. Ostend Airport, Belgium, was 58 nautical miles away but the crew did not wish to fly for that distance over the sea. Southend Airport was open but there was broken cloud at 200 ft aal and the crew decided the weather was not suitable to make an approach. After further discussion with ATC, the crew decided to make an approach to Runway 26L at London Gatwick Airport.","",,,,
"69",":Airport:__Entity__","","","Southend Airport","","","","",,,,
"70",":Location:__Entity__","","","Runway 26L at London Gatwick Airport","","","","",,,,
"71",":Event:__Entity__","","","emergency","","","","",,,,
"72",":Person:__Entity__","","","commander","","","","",,,,
"73",":Airport:__Entity__","","","Ostend Airport, Belgium","","","","",,,,
"74",":Status:__Entity__","","","open","","","","",,,,
"75",":Distance:__Entity__","","","58 nautical miles away","","","","",,,,
"76",":Location:__Entity__","","","River Thames estuary","","","","",,,,
"77",":Weather Condition:__Entity__","","","broken cloud at 200 ft aal","","","","",,,,
"78",":Status:__Entity__","","","closed","","","","",,,,
"79",":Airport:__Entity__","","","Lydd Airport","","","","",,,,
"80",":Location:__Entity__","","","sea","","","","",,,,
"81",":Organization:__Entity__","","","ATC","","","","",,,,
"82",":Airport:__Entity__","","","Manston Airport","","","","",,,,
"83",":Document","","","862f1dbb22f3203834b7cab467b360c3","","","While trying to identify the fault, the crew saw that the left generator load meter was showing a full scale deflection to the left, and that the right generator load meter was deflected to the right although not to full scale. The nature of the problem was not obvious to the crew and there was no applicable procedure in the Emergency Checklist. Nevertheless, the pilots decided to shut down the right generator because it was the RCR associated with the right generator that had caused the problem they experienced in Calgary. After shutting down the generator, the right generator caution light remained off. During the descent, the crew switched off unnecessary electrical items as well as equipment that the pilots believed had wiring that ran close to the RCRs. The commander also went into the cabin to turn off the supplementary oxygen. There was no obvious improvement in the symptoms they could see in the cabin and so the crew decided to switch off the left generator, leaving the","",,,,
"84",":Equipment:__Entity__","","","unnecessary electrical items and equipment with wiring close to RCRs","","","","",,,,
"85",":Event:__Entity__","","","problem experienced in Calgary","","","","",,,,
"86",":Equipment:__Entity__","","","supplementary oxygen in the cabin","","","","",,,,
"87",":Equipment:__Entity__","","","right generator load meter","","","","",,,,
"88",":Condition:__Entity__","","","full scale deflection","","","","",,,,
"89",":Equipment:__Entity__","","","right generator","","","","",,,,
"90",":Equipment:__Entity__","","","left generator","","","","",,,,
"91",":Equipment:__Entity__","","","left generator load meter","","","","",,,,
"92",":Condition:__Entity__","","","not to full scale","","","","",,,,
"93",":Component:__Entity__","","","RCR associated with the right generator","","","","",,,,
"94",":Action:__Entity__","","","after shutting down the right generator","","","","",,,,
"95",":Person:__Entity__","","","pilots","","","","",,,,
"96",":Document","","","fccfe25c115eaba07abd5c89b98c3cab","","","to switch off the left generator, leaving the battery as the only source of electrical power. The left generator caution light also remained off although the captain considered that this might have been because he had tripped a large number of circuit breakers.","",,,,
"97",":Resource:__Entity__","","","electrical power","","","","",,,,
"98",":Equipment:__Entity__","","","left generator caution light","","","","",,,,
"99",":Event:__Entity__","","","tripped circuit breakers","","","","",,,,
"100",":Component:Equipment:__Entity__","","","battery","","","","",,,,
"101",":Action:__Entity__","","","unknown action","","","","",,,,
"102",":Document","","","70362d092716fb61a221e3ceb7e98edb","","","© Crown copyright 2010 18
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
During the final approach to Gatwick Airport, the crew thought that the glow behind the ceiling panels had reduced, but a heat blister had developed on the cabin side of the panels and it was smoking slightly. The aircraft landed, taxied clear of the runway and the crew attempted to shut down the engines. The left engine shut down correctly but, after shutting off the fuel to the right engine it continued to run at between 12% to 15% Ng. The captain thought that the starter motor was probably engaged and stopped the engine by selecting the battery Master Switch to off .
The airport fire crew attended the aircraft and determined that the temperature in the vicinity of the RCRs was slowly increasing. Therefore, they disconnected the aircraft battery from the electrical system and remained with the aircraft until they were satisfied that there was no longer a risk of a fire.","",,,,
"103",":Person:__Entity__","","","captain","","","","",,,,
"104",":Condition:__Entity__","","","the aircraft until no longer a risk of a fire","","","","",,,,
"105",":Group:__Entity__","","","airport fire crew","","","","",,,,
"106",":Condition:__Entity__","","","heat blister on the cabin side of the panels","","","","",,,,
"107",":Action:__Entity__","","","aircraft battery from the electrical system","","","","",,,,
"108",":Performance:__Entity__","","","between 12% to 15% Ng","","","","",,,,
"109",":Condition:__Entity__","","","heat blister","","","","",,,,
"110",":Observation:__Entity__","","","starter motor was probably engaged","","","","",,,,
"111",":Location:__Entity__","","","the aircraft","","","","",,,,
"112",":Effect:__Entity__","","","smoking slightly","","","","",,,,
"113",":Action:__Entity__","","","shut down the engines","","","","",,,,
"114",":Action:__Entity__","","","selecting the battery Master Switch to off","","","","",,,,
"115",":Observation:__Entity__","","","glow behind the ceiling panels had reduced","","","","",,,,
"116",":Document","","","e8ce66a6137e54275f033dc3733b0b05","","","Description of the aircraft DC electrical system
General
The aircraft is equipped with a 28VDC electrical system. Each engine is fitted with a starter-generator, which supplies electrical power to its respective DC busbar through a reverse current relay RCR, see Figure 1. A secondary source of DC power is a 24V battery, which feeds the left DC busbar through the battery bus and reverse current circuit breaker. During normal operation the left and right DC busbars are connected by the bus tie, which allows both systems to operate in parallel. The left and right DC electrical systems can operate as separate systems by opening the DC bus tie. A load meter allows the crew to determine the current flowing into or out of the starter generator, its scale indicates between +1 and –1, which corresponds to +200 amps and -200 amps. Movement of the pointer to the instrument stops corresponds to approximately 400 amps.
Figure 1
Simplified diagram of aircraft DC electrical generation","",,,,
"117",":Component:__Entity__","","","load meter scale","","","","",,,,
"118",":Device:__Entity__","","","battery bus and reverse current circuit breaker","","","","",,,,
"119",":Range:__Entity__","","","+1 to –1 corresponding to +200 amps and -200 amps","","","","",,,,
"120",":System:__Entity__","","","left and right DC electrical systems","","","","",,,,
"121",":Power Source:__Entity__","","","24V battery","","","","",,,,
"122",":System:__Entity__","","","28VDC electrical system","","","","",,,,
"123",":Functionality:__Entity__","","","parallel operation of both systems","","","","",,,,
"124",":Device:__Entity__","","","bus tie","","","","",,,,
"125",":Instrument:__Entity__","","","load meter","","","","",,,,
"126",":Measurement:__Entity__","","","current flowing into or out of the starter generator","","","","",,,,
"127",":Component:__Entity__","","","DC busbar","","","","",,,,
"128",":Mode:__Entity__","","","separate systems","","","","",,,,
"129",":Device:__Entity__","","","reverse current relay RCR","","","","",,,,
"130",":Component:__Entity__","","","left DC busbar","","","","",,,,
"131",":Component:__Entity__","","","each engine","","","","",,,,
"132",":Device:__Entity__","","","starter-generator","","","","",,,,
"133",":Document","","","0446d897fed20d33806bfd75dd31a834","","","5 amp gen CBreversecurrent relayleft dc busS/Gdc bus tieS/G5 amp gen CBreversecurrent relayright dc busstarter/generatorstarter/generatorloadmeterloadmeterreversecurrent CBbatterybusbattery
© Crown copyright 2010 19
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
Reverse current relays","",,,,
"134",":System:__Entity__","","","reversecurrent relayright dc bus","","","","",,,,
"135",":System:__Entity__","","","dc busS/G","","","","",,,,
"136",":Equipment:__Entity__","","","reversecurrent CB","","","","",,,,
"137",":Equipment:__Entity__","","","starter/generator","","","","",,,,
"138",":System:__Entity__","","","loadmeter","","","","",,,,
"139",":System:__Entity__","","","reversecurrent relayleft dc bus","","","","",,,,
"140",":System:__Entity__","","","batterybus","","","","",,,,
"141",":Equipment:__Entity__","","","5 amp gen CB","","","","",,,,
"142",":Document","","","b866d82195c7ccb6c737f64764d2f03a","","","Reverse current relays
The purpose of the RCR is to provide a connection between the generator and the bus, or battery, and to provide reverse current protection in the event of a generator failure or a loss of generator voltage. The RCRs are located within the power distribution and generator control box, which is mounted in the roof on the right side of the cabin. Each RCR contains three relays (Figure 2). Relay R1 operates when the generator voltage reaches approximately 22V, relay R2 is a polarized differential relay which senses the direction of the current flow and relay R3 operates the main contacts. A generatorGENERATOR caution light, located on the instrument panel in the cockpit, illuminates when the main contact is open and the engine start switch is at the off position.","",,,,
"143",":Condition:__Entity__","","","approximately 22V","","","","",,,,
"144",":Component:__Entity__","","","Relay R1","","","","",,,,
"145",":Indicator:__Entity__","","","generator caution light","","","","",,,,
"146",":Component:__Entity__","","","three relays","","","","",,,,
"147",":Condition:__Entity__","","","reverse current","","","","",,,,
"148",":Condition:__Entity__","","","off position","","","","",,,,
"149",":System:__Entity__","","","generator and bus or battery","","","","",,,,
"150",":Action:Event:__Entity__","","","current flow","","","","",,,,
"151",":Component:__Entity__","","","Relay R2","","","","",,,,
"152",":Component:Device:Equipment:__Entity__","","","RCR","","","","",,,,
"153",":Location:__Entity__","","","roof on the right side of the cabin","","","","",,,,
"154",":Document","","","7c89c87458c70c7c5e007ce43e46053a","","","The sequence of operation of the RCR is as follows. When the generator voltage reaches approximately 22V, relay R1 closes. This energises relay R2, which is connected across the open main contacts. The voltage on the Diff Volt coil of relay R2 is now the difference between the generator voltage and the battery / bus voltage. When this difference reaches between 0.35V and 0.65V (generator must be the highest voltage) relay R2 will close. This applies a voltage to the Main Relay coil R3, which immediately closes and connects the generator to the bus. If the generator voltage decreases below the battery / bus voltage, a current will flow from the bus to the generator. The Rev Current coil in Relay R2 senses the change in direction of the current and the contact opens. The Main Relay coil in Relay R3 is then de-energised, the main contacts open and the generator is disconnected from the bus.","",,,,
"155",":Component:__Entity__","","","Main Relay coil R3","","","","",,,,
"156",":Component:__Entity__","","","bus","","","","",,,,
"157",":Component:__Entity__","","","Rev Current coil in Relay R2","","","","",,,,
"158",":Measurement:__Entity__","","","generator voltage","","","","",,,,
"159",":Event:__Entity__","","","contact opens","","","","",,,,
"160",":Event:__Entity__","","","relay R2 closes","","","","",,,,
"161",":Component:__Entity__","","","open main contacts","","","","",,,,
"162",":Direction:__Entity__","","","bus to generator","","","","",,,,
"163",":Condition:__Entity__","","","generator voltage reaches approximately 22V","","","","",,,,
"164",":Voltage:__Entity__","","","battery / bus voltage","","","","",,,,
"165",":Component:__Entity__","","","contact of relay R2","","","","",,,,
"166",":Component:__Entity__","","","main contacts of relay R3","","","","",,,,
"167",":Event:__Entity__","","","relay R1 closes","","","","",,,,
"168",":Event:__Entity__","","","change in direction of current","","","","",,,,
"169",":Component:__Entity__","","","Main Relay coil in Relay R3","","","","",,,,
"170",":Voltage:__Entity__","","","22V","","","","",,,,
"171",":Component:__Entity__","","","relay R1","","","","",,,,
"172",":Measurement:__Entity__","","","generator voltage and the battery / bus voltage","","","","",,,,
"173",":Component:__Entity__","","","Diff Volt coil of relay R2","","","","",,,,
"174",":Event:__Entity__","","","Main Relay coil in Relay R3 is de-energised","","","","",,,,
"175",":Component:__Entity__","","","relay R2","","","","",,,,
"176",":Voltage Range:__Entity__","","","0.35V to 0.65V","","","","",,,,
"177",":Flow:__Entity__","","","current","","","","",,,,
"178",":Document","","","d5341dc38a3bf92534f0dc6559ee1016","","","The drawing for the power distribution and generator control (No C6NF1171) lists the part numbers for RCRs approved for use on the DHC-6 as A-700AP and A-700AAP, rated at 300 amps, and A-701D, rated at 400 amps.
Voltage regulator
A voltage regulator is fitted in each generator circuit and controls the generator output at a nominal 28.5V over the full range of generator speed, load and operating temperature. An equalizer circuit in each voltage regulator ensures equal loading (within 20 amps) when the generators are operating in parallel.
Examination of the aircraft
Examination of the aircraft revealed that there had been an electrical fire, which had almost consumed the left RCR, Figure 3. The fire had burnt through the cover of the power distribution and generator control box and, whilst the heat had caused the trim in the cabin to blister,
Gen control Gen caution light
Figure 2
Schematic diagram of reverse current relay
© Crown copyright 2010 20","",,,,
"179",":Event:__Entity__","","","aircraft examination","","","","",,,,
"180",":Circuit:__Entity__","","","equalizer circuit","","","","",,,,
"181",":Component:Equipment:Product:__Entity__","","","RCRs","","","","",,,,
"182",":Component:Equipment:Location:System:__Entity__","","","left RCR","","","","",,,,
"183",":Condition:__Entity__","","","heat from fire","","","","",,,,
"184",":Voltage:__Entity__","","","28.5V","","","","",,,,
"185",":Event:Incident:__Entity__","","","fire","","","","",,,,
"186",":Component:__Entity__","","","voltage regulator","","","","",,,,
"187",":Cabin Feature:__Entity__","","","trim in the cabin","","","","",,,,
"188",":Rating:Specification:__Entity__","","","300 amps","","","","",,,,
"189",":Rating:Specification:__Entity__","","","400 amps","","","","",,,,
"190",":Component:__Entity__","","","RCR A-701D","","","","",,,,
"191",":Aircraft:__Entity__","","","DHC-6","","","","",,,,
"192",":Circuit:__Entity__","","","generator circuit","","","","",,,,
"193",":Rating:__Entity__","","","20 amps","","","","",,,,
"194",":Component:__Entity__","","","RCR A-700AP","","","","",,,,
"195",":Document:__Entity__","","","drawing","","","","",,,,
"196",":Component:__Entity__","","","RCR A-700AAP","","","","",,,,
"197",":Document","","","a14623a2cda63c707bf1171de3071669","","","© Crown copyright 2010 20
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
the trim remained intact and there was no evidence of any smoke damage in the cabin. The trail of the combustion products shows that the smoke remained trapped between the fuselage and cabin trim and was drawn out of the cabin vent mounted in the roof of the aircraft. The heat had also damaged the wiring for the entertainment system and the aerial for a redundant ADF system; there was no other damage to any of the aircraft wiring. Although the adjacent structure and components were covered with combustion products there was no evidence of heat damage outside of the power distribution and generator control box, except to the adjacent cabin trim, .","",,,,
"198",":Substance:__Entity__","","","combustion products","","","","",,,,
"199",":Condition:__Entity__","","","heat damage","","","","",,,,
"200",":Location:__Entity__","","","fuselage and cabin trim","","","","",,,,
"201",":Location:__Entity__","","","cabin","","","","",,,,
"202",":Observation:Substance:__Entity__","","","smoke","","","","",,,,
"203",":Observation:__Entity__","","","no evidence of any smoke damage","","","","",,,,
"204",":Cause:Condition:__Entity__","","","heat","","","","",,,,
"205",":Component:__Entity__","","","trim","","","","",,,,
"206",":Location:__Entity__","","","power distribution and generator control box, except to the adjacent cabin trim","","","","",,,,
"207",":Condition:__Entity__","","","intact","","","","",,,,
"208",":Location:__Entity__","","","adjacent structure and components","","","","",,,,
"209",":Component:__Entity__","","","wiring for the entertainment system and the aerial for a redundant ADF system","","","","",,,,
"210",":Component:__Entity__","","","cabin vent mounted in the roof of the aircraft","","","","",,,,
"211",":Document","","","836b0ecb2d6c67f0ac41f502e165a675","","","Both generators were visually examined and the brushes were found to be in good condition. The 5 amp circuit breaker for the right generator, mounted near the generator relay in the engine nacelle, had tripped. The aircraft battery appeared, from a visual inspection, to be in good condition and had a voltage of 25.7v.
The power distribution and generator control box was replaced and the aircraft was flown to a maintenance organisation in Switzerland where a detailed inspection of the complete aircraft electrical system was carried out. The maintenance organisation advised the AAIB that whilst the wiring in the aircraft was in a bad general condition..... they could not find any obvious cause for the electrical fire. The complete aircraft wiring was replaced and engine ground runs were carried out to test the electrical generation and distribution system. All the systems operated satisfactorily and the aircraft was flown to the Maldives.
Previous occurrences","",,,,
"212",":Procedure:__Entity__","","","engine ground runs","","","","",,,,
"213",":System:__Entity__","","","electrical generation and distribution system","","","","",,,,
"214",":Equipment:__Entity__","","","aircraft battery","","","","",,,,
"215",":Equipment:__Entity__","","","5 amp circuit breaker","","","","",,,,
"216",":Condition:__Entity__","","","good condition","","","","",,,,
"217",":Location:__Entity__","","","generator relay in the engine nacelle","","","","",,,,
"218",":Equipment:__Entity__","","","circuit breaker","","","","",,,,
"219",":Location:__Entity__","","","maintenance organisation in Switzerland","","","","",,,,
"220",":Component:__Entity__","","","brushes","","","","",,,,
"221",":Equipment:__Entity__","","","generators","","","","",,,,
"222",":Organization:__Entity__","","","maintenance organisation","","","","",,,,
"223",":Condition:__Entity__","","","bad general condition","","","","",,,,
"224",":Measurement:__Entity__","","","25.7v","","","","",,,,
"225",":Document","","","054fda0ca3988b80c99c65349cea28bf","","","Previous occurrences
The Type Certificate Holder provided the AAIB with copies of their Service Difficulty Reports detailing 18 failures of the RCR since 1974. Of the 18 occurrences, 15 reports recorded that either the contacts were welded closed or there were signs of overheating, smoke or sparks. Eleven of the RCR were rated at 300 amps and five at 400 amps. There was insufficient information to establish the current rating of the remaining two RCRs.
Significant airworthiness directives, modifications and service bulletins
Airworthiness directives (AD)
AD CF-75-11 was issued by Transport Canada and became effective on 1 December 1975. The AD is applicable to DHC-6 series of aircraft and requires the inspection of the contact points on A-700AAP and A-700AP relays.
Figure 3
Damage to power distribution box and generator control box
© Crown copyright 2010 21
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01","",,,,
"226",":Equipment:__Entity__","","","2 RCRs","","","","",,,,
"227",":Report:__Entity__","","","15 reports","","","","",,,,
"228",":Organization:__Entity__","","","The Type Certificate Holder","","","","",,,,
"229",":Aircraft:__Entity__","","","DHC-6 series of aircraft","","","","",,,,
"230",":Organization:__Entity__","","","Transport Canada","","","","",,,,
"231",":Equipment:__Entity__","","","11 RCRs","","","","",,,,
"232",":Document:__Entity__","","","Service Difficulty Reports","","","","",,,,
"233",":Event:__Entity__","","","18 failures of the RCR since 1974","","","","",,,,
"234",":Organization:__Entity__","","","AAIB","","","","",,,,
"235",":Directive:__Entity__","","","AD CF-75-11","","","","",,,,
"236",":Equipment:__Entity__","","","5 RCRs","","","","",,,,
"237",":Specification:__Entity__","","","current rating","","","","",,,,
"238",":Equipment:__Entity__","","","contact points on A-700AAP and A-700AP relays","","","","",,,,
"239",":Condition:__Entity__","","","contacts were welded closed or signs of overheating, smoke or sparks","","","","",,,,
"240",":Document","","","9cd93389688399b88d3652937af72f49","","","AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
AD CF-77-08 was issued by Transport Canada and became effective on 30 September 1977. The AD is applicable to DHC-6 aircraft serial numbers 1 through 530. The AD states:
To preclude the possibility of total electrical failure due to contact welding of reverse current relays Hartman A700AP or A7000AAP and subsequent burning through of relay covers and adjacent wiring, install de Havilland Modification 6/1598 in accordance with de Havilland Service Bulletin No 6/353.
AD 78-01-05 was issued by the Federal Aviation Administration and became effective on 9 February 1978. The AD required the De Havilland modification 6/1598 and SB 6/353 to be incorporated on DHC-6 series aircraft.
De Havilland Service Bulletins","",,,,
"241",":Date:__Entity__","","","30 September 1977","","","","",,,,
"242",":Aircraft Series:__Entity__","","","DHC-6 aircraft serial numbers 1 through 530","","","","",,,,
"243",":Regulation:__Entity__","","","AD 78-01-05","","","","",,,,
"244",":Action:__Entity__","","","De Havilland modification 6/1598 and SB 6/353 to be incorporated on DHC-6 series aircraft","","","","",,,,
"245",":Regulation:__Entity__","","","AD CF-77-08","","","","",,,,
"246",":Modification:__Entity__","","","de Havilland Modification 6/1598","","","","",,,,
"247",":Component:__Entity__","","","Hartman A700AP or A7000AAP","","","","",,,,
"248",":Organization:__Entity__","","","Federal Aviation Administration","","","","",,,,
"249",":Date:__Entity__","","","9 February 1978","","","","",,,,
"250",":Service Bulletin:__Entity__","","","de Havilland Service Bulletin No 6/353","","","","",,,,
"251",":Issue:__Entity__","","","total electrical failure due to contact welding of reverse current relays","","","","",,,,
"252",":Document","","","56e97a25e7ac107ef9d836cd9cbbc9fa","","","De Havilland Service Bulletins
SB 6/338 was issued on 24 October 1975 and revised on 29 October 1982. This SB requires RCRs rated at 300 amps A-700AP and AAPto be removed from the aircraft and inspected at intervals of not more than 1,200 hours. The inspection requirement is to look for signs of overheating and pitting or corrosion of the contact points.
SB 6/353 was issued on 13 May 1977 and revised on 28 February 1978. This SB introduces heat shielding around the RCR and the rerouting of critical wiring away from the RCRs.
De Havilland Modifications
Modification 6/1585 introduced a new RCR, part number A-701D, rated at 400 amps.
Modification 6/1598 was approved in 1977 and reroutes the electrical wiring adjacent to the RCRs and introduces fire resistant panels in the power distribution and generator control box.
Modification state of aircraft wiring
An entry in the aircraft technical log, dated 7/12/09, stated:","",,,,
"253",":Date:__Entity__","","","29 October 1982","","","","",,,,
"254",":Service Bulletin:__Entity__","","","SB 6/353","","","","",,,,
"255",":Modification:__Entity__","","","Modification 6/1598","","","","",,,,
"256",":Date:__Entity__","","","13 May 1977","","","","",,,,
"257",":Service Bulletin:__Entity__","","","SB 6/338","","","","",,,,
"258",":Task:__Entity__","","","critical wiring away from the RCRs","","","","",,,,
"259",":Time Interval:__Entity__","","","not more than 1,200 hours","","","","",,,,
"260",":Task:__Entity__","","","look for signs of overheating and pitting or corrosion of the contact points","","","","",,,,
"261",":Year:__Entity__","","","1977","","","","",,,,
